genres,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0
Action|Adventure|Animation|Comedy|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.5
Action|Adventure|Animation|Comedy|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Action|Adventure|Animation|Crime|Fantasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.5,0.0
Action|Adventure|Animation|Drama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,2.0
Action|Adventure|Animation|Drama|Fantasy,0.0,0.0,0.0,0.0,4.5,4.5,4.0,5.0,0.0,3.5,4.0,4.5,3.9,4.0,4.0,5.0,4.5,4.0,5.0,3.0,4.0,3.1666666666666665,3.3333333333333335
Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
Action|Adventure|Animation|Fantasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.6666666666666665,4.333333333333333,3.75,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0
Action|Adventure|Animation|Fantasy|IMAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,2.0,2.5,0.0,0.0,0.0,3.0,0.0,1.5,0.0,3.0,0.0
Action|Adventure|Animation|Fantasy|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,4.125,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.0,3.25,2.875
Action|Adventure|Animation|Horror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
Action|Adventure|Animation|Horror|Sci-Fi,3.6666666666666665,0.0,5.0,4.0,3.3333333333333335,4.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.75,3.0,0.0,0.0,0.0,3.5,0.0
Action|Adventure|Animation|Sci-Fi,0.0,1.0,1.0,0.0,3.5,3.0,4.5,5.0,2.0,4.4,4.0,3.6,4.5,3.1666666666666665,3.5,0.0,3.25,0.0,5.0,2.75,3.0,4.333333333333333,2.625
Action|Adventure|Animation|Sci-Fi|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Action|Adventure|Children,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.6666666666666665
Action|Adventure|Children|Comedy,0.0,0.0,0.0,2.5,2.25,3.125,4.0,1.0,0.0,2.5,0.0,2.0833333333333335,2.5,2.0,0.0,0.0,0.8333333333333334,0.0,0.0,2.7857142857142856,3.1,3.125,2.9166666666666665
Action|Adventure|Children|Comedy|Crime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Children|Comedy|Fantasy,0.0,0.0,0.0,0.0,3.1538461538461537,3.25,2.3333333333333335,5.0,3.625,1.5,3.8333333333333335,3.2857142857142856,4.0,4.2,3.25,2.6666666666666665,4.125,5.0,0.0,3.375,3.7,2.7777777777777777,3.1875
Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,2.25,0.0,0.0,0.0,2.2,2.0,0.0,0.0,0.0,1.25,0.0,1.8333333333333333,3.5,0.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0
Action|Adventure|Children|Comedy|Mystery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.75,0.0
Action|Adventure|Children|Comedy|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
Action|Adventure|Children|Crime|Mystery|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Action|Adventure|Children|Drama,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,2.0,0.0,0.5,0.0,1.5,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.25,0.0
Action|Adventure|Children|Fantasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,3.5,0.0,1.75,2.3333333333333335,0.0,3.1666666666666665,0.0,2.5,0.0,0.0,2.8333333333333335,4.0,4.0,3.5
Action|Adventure|Children|Fantasy|Mystery|Thriller,0.0,0.0,0.0,4.0,3.4285714285714284,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Children|IMAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.375,5.0,2.8333333333333335
Action|Adventure|Children|Mystery|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.375,3.0,0.0
Action|Adventure|Children|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
Action|Adventure|Comedy,0.0,3.5,3.0,3.2666666666666666,3.1875,3.25,4.3076923076923075,3.1176470588235294,3.5416666666666665,2.9285714285714284,3.1842105263157894,3.03125,3.3529411764705883,2.5,3.5,0.5,3.0384615384615383,3.0555555555555554,3.125,3.2222222222222223,3.4166666666666665,2.8484848484848486,3.225
Action|Adventure|Comedy|Crime,3.2875,3.125,3.0,3.25,2.6842105263157894,3.25,3.6,2.875,3.3333333333333335,3.0454545454545454,3.2142857142857144,2.3333333333333335,0.0,2.5,3.1,3.5,2.875,0.0,0.0,3.3,3.526315789473684,4.055555555555555,3.5384615384615383
Action|Adventure|Comedy|Crime|Drama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Comedy|Crime|Drama|Film-Noir|Horror|Mystery|Thriller|Western,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,4.0,0.0,0.0
Action|Adventure|Comedy|Crime|Fantasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.25,3.0,0.0,3.1,0.0,0.0,2.9,2.875,3.1,2.5
Action|Adventure|Comedy|Crime|Mystery|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.5,3.5,3.85,3.7222222222222223,3.5,4.3
Action|Adventure|Comedy|Crime|Romance|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Action|Adventure|Comedy|Crime|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,1.75,2.0,2.5,1.0,3.125,0.0,4.5,4.0,2.875,3.25,1.5,2.7142857142857144,4.0,2.7,3.1666666666666665
Action|Adventure|Comedy|Documentary|Fantasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Comedy|Drama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Comedy|Drama|Fantasy|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
Action|Adventure|Comedy|Drama|Romance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
Action|Adventure|Comedy|Drama|Romance|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Comedy|Drama|Romance|War,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Action|Adventure|Comedy|Drama|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0
Action|Adventure|Comedy|Drama|War,0.0,0.0,0.0,4.166666666666667,3.5,4.5,3.0,4.0,3.25,3.5,3.75,3.375,4.0,3.5,0.0,4.25,4.0,0.0,0.0,0.0,3.75,3.5,3.0
Action|Adventure|Comedy|Fantasy,2.9444444444444446,5.0,0.0,1.0,2.8666666666666667,3.8,3.75,3.2142857142857144,3.6923076923076925,4.133333333333334,3.71875,3.378787878787879,3.8,3.1666666666666665,2.9,2.5,3.4565217391304346,3.7142857142857144,3.3,3.6029411764705883,3.6346153846153846,3.453125,3.6666666666666665
Action|Adventure|Comedy|Fantasy|Horror,5.0,5.0,0.0,3.0,3.6666666666666665,3.8,3.5,4.5,4.0,4.166666666666667,4.333333333333333,4.75,0.0,3.625,0.0,3.75,5.0,3.5,4.0,4.0,4.333333333333333,4.75,4.0
Action|Adventure|Comedy|Fantasy|Horror|Thriller,0.0,0.0,0.0,3.0,2.727272727272727,3.0,4.0,2.6,3.1,3.5,3.875,3.25,2.5,2.375,3.5,2.5,3.1,2.5,0.0,3.1666666666666665,3.5,4.125,2.3333333333333335
Action|Adventure|Comedy|Fantasy|Mystery,0.0,0.0,0.0,3.0,2.2,3.6666666666666665,2.0,4.0,2.0,1.5,0.0,2.5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,3.0,0.0
Action|Adventure|Comedy|Fantasy|Romance,5.0,4.166666666666667,5.0,4.375,4.476190476190476,4.666666666666667,4.0,4.375,4.166666666666667,4.5,4.285714285714286,3.75,4.166666666666667,4.2,4.3,4.5,4.5,4.3,0.0,3.75,4.375,3.7777777777777777,4.0
Action|Adventure|Comedy|Fantasy|Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665
Action|Adventure|Comedy|Fantasy|Sci-Fi|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
Action|Adventure|Comedy|Horror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,0.0
Action|Adventure|Comedy|Romance,3.3636363636363638,0.0,4.0,3.625,2.911764705882353,3.5,3.625,3.0,3.2,3.4705882352941178,3.607142857142857,3.0357142857142856,3.7857142857142856,3.0,3.0,0.0,3.5,3.75,0.0,3.0,3.5454545454545454,2.2777777777777777,2.875
Action|Adventure|Comedy|Romance|Thriller,3.4936708860759493,4.333333333333333,4.0,3.4285714285714284,3.2941176470588234,3.6,3.5,1.75,3.4285714285714284,3.1666666666666665,3.2857142857142856,3.0454545454545454,3.6,3.8333333333333335,2.875,0.0,3.75,4.25,3.0,3.1666666666666665,3.0714285714285716,3.6666666666666665,3.625
Action|Adventure|Comedy|Sci-Fi,0.0,4.5,4.0,3.6666666666666665,3.875,3.0,3.0714285714285716,3.5,3.3333333333333335,3.5714285714285716,3.1818181818181817,4.0,3.4473684210526314,3.6818181818181817,3.5,3.5,2.8333333333333335,3.5,2.5,3.375,3.642857142857143,3.5875,3.54
Action|Adventure|Comedy|Sci-Fi|IMAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Action|Adventure|Comedy|Sci-Fi|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
Action|Adventure|Comedy|Thriller,0.0,3.5714285714285716,0.0,0.0,3.0,3.4,2.0,2.875,3.0,3.5714285714285716,3.3333333333333335,3.25,2.5,1.5,0.0,0.0,3.6666666666666665,0.0,3.5,3.1,3.25,3.4,3.8333333333333335
Action|Adventure|Comedy|War,3.0,0.0,0.0,0.0,2.0,3.5,2.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,4.0,0.5,4.0,0.0,2.5,3.0,3.75,3.75,3.5
Action|Adventure|Comedy|Western,0.0,0.0,0.0,0.0,3.857142857142857,4.25,3.0,2.8333333333333335,4.0,2.0,4.0,2.3333333333333335,3.0,2.75,4.0,0.0,1.25,0.0,4.0,2.25,3.3,3.4166666666666665,3.5
Action|Adventure|Crime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,3.1,2.9
Action|Adventure|Crime|Drama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.75,2.25,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.75,2.5
Action|Adventure|Crime|Drama|Romance|Thriller,0.0,0.0,0.0,2.0,2.3333333333333335,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Action|Adventure|Crime|Drama|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,3.875,4.333333333333333,4.0,4.666666666666667,4.4,4.5,4.5,4.125,4.75,4.0,3.7142857142857144,4.142857142857143,4.125,4.1
Action|Adventure|Crime|Drama|Thriller|War,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.95,3.9,3.125,2.75,3.8333333333333335,4.1,4.25,2.5,3.8333333333333335,4.214285714285714,3.3333333333333335,3.625
Action|Adventure|Crime|Horror|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.6666666666666665,2.0,3.5,0.0,3.0,4.0,3.5,3.0833333333333335,3.3333333333333335,3.75
Action|Adventure|Crime|IMAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,4.5,3.875,4.166666666666667,3.8461538461538463,3.823529411764706,3.8461538461538463
Action|Adventure|Crime|Sci-Fi|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Action|Adventure|Crime|Thriller,3.0,0.0,2.5,5.0,2.625,0.0,3.3333333333333335,2.75,4.0,3.5555555555555554,3.125,3.5,3.3333333333333335,2.8333333333333335,3.6666666666666665,3.5,3.25,3.0,3.25,3.642857142857143,3.5,2.7857142857142856,2.6666666666666665
Action|Adventure|Drama,4.2,4.0,4.0,3.5714285714285716,3.6792452830188678,3.5,3.9444444444444446,3.7083333333333335,3.6923076923076925,3.838235294117647,3.739130434782609,3.926470588235294,3.8333333333333335,3.235294117647059,3.888888888888889,3.9583333333333335,3.9166666666666665,4.038461538461538,3.9285714285714284,3.6486486486486487,3.761904761904762,3.2972972972972974,4.0576923076923075
Action|Adventure|Drama|Fantasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.208333333333333,4.291666666666667,4.333333333333333,3.5833333333333335,4.166666666666667,4.25,3.611111111111111,3.6,3.96875,4.166666666666667,3.75,3.90625,4.184210526315789,3.4791666666666665,3.5952380952380953
Action|Adventure|Drama|Fantasy|IMAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.625,0.0,0.0,3.75,3.388888888888889,3.857142857142857,3.0
Action|Adventure|Drama|Fantasy|Mystery|IMAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8333333333333335,4.0,2.5,3.75,4.166666666666667,3.9583333333333335,4.1
Action|Adventure|Drama|Fantasy|Romance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Drama|Fantasy|Romance|Sci-Fi|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Drama|Fantasy|Thriller,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,4.0,0.0,0.0,3.5,4.0,3.8125,2.875,3.1666666666666665,3.0,0.0,2.5,0.0,3.5,3.125,3.125,3.25,3.75
Action|Adventure|Drama|Mystery|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.25,3.375,3.0,2.642857142857143,3.6666666666666665,4.0,3.75,4.0,4.0,3.1,3.625,2.75,3.5
Action|Adventure|Drama|Romance,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.3333333333333335,2.0,3.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Drama|Romance|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Drama|Romance|Thriller|Western,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Action|Adventure|Drama|Romance|War,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,4.5,0.0,0.0,3.0,3.75,2.0,0.0
Action|Adventure|Drama|Sci-Fi,0.0,0.0,3.5,0.0,2.5,2.3333333333333335,3.111111111111111,2.75,3.5,2.0,2.125,2.95,2.0,2.6666666666666665,4.5,0.0,1.25,0.0,3.0,3.25,3.9166666666666665,2.857142857142857,3.25
Action|Adventure|Drama|Sci-Fi|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.875,3.5,3.525,3.75,3.388888888888889,4.166666666666667,4.5,3.875,4.375,3.8,3.391891891891892,3.3815789473684212,3.033333333333333,2.9761904761904763
Action|Adventure|Drama|Thriller,0.0,2.0,0.0,3.6,3.2,3.3333333333333335,3.888888888888889,3.0,2.1666666666666665,3.5714285714285716,3.1666666666666665,3.375,4.0,3.0,3.75,4.0,2.3333333333333335,4.5,3.5,2.8,4.428571428571429,3.888888888888889,3.5
Action|Adventure|Drama|Thriller|IMAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.375,3.0,3.0,3.6666666666666665,2.75,2.5
Action|Adventure|Drama|Thriller|Western,0.0,0.0,0.0,0.0,4.571428571428571,3.6666666666666665,5.0,0.0,3.0,4.0,0.0,0.0,4.0,4.25,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Action|Adventure|Drama|War,0.0,0.0,0.0,4.75,4.0,4.4,4.0,4.214285714285714,3.6904761904761907,3.4166666666666665,3.9,3.4,3.3461538461538463,3.5416666666666665,3.0833333333333335,4.285714285714286,3.5357142857142856,4.5,3.8333333333333335,3.25,3.9761904761904763,3.347826086956522,3.125
Action|Adventure|Drama|Western,3.0,4.0,0.0,0.0,3.8333333333333335,0.0,4.0,0.0,4.25,4.5,0.0,0.5,3.5,3.25,0.0,0.0,2.0,0.0,0.0,3.0,3.5,3.0,0.0
Action|Adventure|Fantasy,2.9523809523809526,3.3333333333333335,3.0,3.75,3.0547945205479454,3.25,3.8181818181818183,2.8823529411764706,3.5,2.9305555555555554,3.0,3.037037037037037,3.5681818181818183,3.0625,3.1176470588235294,3.1818181818181817,3.5277777777777777,3.5833333333333335,3.6,3.272727272727273,3.116279069767442,3.3076923076923075,3.1808510638297873
Action|Adventure|Fantasy|Horror,0.0,0.0,0.0,4.0,3.857142857142857,2.0,3.6666666666666665,4.0,3.0,2.3333333333333335,3.0,3.0,3.6666666666666665,2.5,2.5,0.0,3.5,3.5,3.5,2.9375,3.357142857142857,3.642857142857143,3.25
Action|Adventure|Fantasy|Horror|Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
